,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
0,"Mon, Feb 1, 2010",7:00p,Boston Celtics,99,Washington Wizards,88,Box Score,,20173,
1,"Mon, Feb 1, 2010",7:30p,Milwaukee Bucks,97,Miami Heat,81,Box Score,,15858,
2,"Mon, Feb 1, 2010",8:00p,Los Angeles Lakers,93,Memphis Grizzlies,95,Box Score,,18119,
3,"Mon, Feb 1, 2010",8:00p,Phoenix Suns,109,New Orleans Hornets,100,Box Score,,13874,
4,"Mon, Feb 1, 2010",9:00p,Sacramento Kings,109,Denver Nuggets,112,Box Score,OT,15544,
5,"Mon, Feb 1, 2010",9:00p,Dallas Mavericks,92,Utah Jazz,104,Box Score,,19911,
6,"Mon, Feb 1, 2010",10:00p,Charlotte Bobcats,79,Portland Trail Blazers,98,Box Score,,20106,
7,"Tue, Feb 2, 2010",7:00p,Memphis Grizzlies,89,Cleveland Cavaliers,105,Box Score,,20562,
8,"Tue, Feb 2, 2010",7:00p,Toronto Raptors,115,Indiana Pacers,130,Box Score,,11191,
9,"Tue, Feb 2, 2010",7:00p,Milwaukee Bucks,82,Orlando Magic,99,Box Score,,17461,
10,"Tue, Feb 2, 2010",7:30p,Detroit Pistons,97,New Jersey Nets,93,Box Score,,9417,
11,"Tue, Feb 2, 2010",8:00p,Los Angeles Clippers,90,Chicago Bulls,82,Box Score,,19335,
12,"Tue, Feb 2, 2010",8:00p,Atlanta Hawks,99,Oklahoma City Thunder,106,Box Score,,17360,
13,"Tue, Feb 2, 2010",8:30p,Golden State Warriors,97,Houston Rockets,119,Box Score,,12845,
14,"Wed, Feb 3, 2010",7:00p,Los Angeles Clippers,97,Atlanta Hawks,103,Box Score,,13303,
15,"Wed, Feb 3, 2010",7:00p,Chicago Bulls,103,Philadelphia 76ers,106,Box Score,OT,13295,
16,"Wed, Feb 3, 2010",7:00p,New Jersey Nets,99,Toronto Raptors,108,Box Score,,15222,
17,"Wed, Feb 3, 2010",7:30p,Washington Wizards,85,New York Knicks,107,Box Score,,19225,
18,"Wed, Feb 3, 2010",8:00p,Miami Heat,102,Boston Celtics,107,Box Score,,18624,
19,"Wed, Feb 3, 2010",8:00p,Oklahoma City Thunder,103,New Orleans Hornets,99,Box Score,,12884,
20,"Wed, Feb 3, 2010",8:30p,Golden State Warriors,101,Dallas Mavericks,110,Box Score,,19679,
21,"Wed, Feb 3, 2010",9:00p,Portland Trail Blazers,105,Utah Jazz,118,Box Score,,19911,
22,"Wed, Feb 3, 2010",10:00p,San Antonio Spurs,115,Sacramento Kings,113,Box Score,,12934,
23,"Wed, Feb 3, 2010",10:30p,Phoenix Suns,109,Denver Nuggets,97,Box Score,,19155,
24,"Wed, Feb 3, 2010",10:30p,Charlotte Bobcats,97,Los Angeles Lakers,99,Box Score,,18997,
25,"Thu, Feb 4, 2010",8:00p,Miami Heat,86,Cleveland Cavaliers,102,Box Score,,20562,
26,"Thu, Feb 4, 2010",10:30p,San Antonio Spurs,93,Portland Trail Blazers,96,Box Score,,20572,
27,"Fri, Feb 5, 2010",7:00p,Detroit Pistons,83,Indiana Pacers,107,Box Score,,14832,
28,"Fri, Feb 5, 2010",7:00p,Washington Wizards,92,Orlando Magic,91,Box Score,,17461,
29,"Fri, Feb 5, 2010",7:30p,New Jersey Nets,87,Boston Celtics,96,Box Score,,18624,
30,"Fri, Feb 5, 2010",7:30p,Milwaukee Bucks,114,New York Knicks,107,Box Score,,19247,
31,"Fri, Feb 5, 2010",8:00p,Chicago Bulls,81,Atlanta Hawks,91,Box Score,,18729,
32,"Fri, Feb 5, 2010",8:00p,Houston Rockets,101,Memphis Grizzlies,83,Box Score,,14531,
33,"Fri, Feb 5, 2010",8:00p,Philadelphia 76ers,101,New Orleans Hornets,94,Box Score,,15162,
34,"Fri, Feb 5, 2010",8:30p,Minnesota Timberwolves,117,Dallas Mavericks,108,Box Score,,20034,
35,"Fri, Feb 5, 2010",10:00p,Phoenix Suns,114,Sacramento Kings,102,Box Score,,14922,
36,"Fri, Feb 5, 2010",10:30p,Denver Nuggets,126,Los Angeles Lakers,113,Box Score,,18997,
37,"Sat, Feb 6, 2010",7:00p,New Orleans Hornets,104,Charlotte Bobcats,99,Box Score,,19164,
38,"Sat, Feb 6, 2010",7:30p,New York Knicks,106,Cleveland Cavaliers,113,Box Score,,20562,
39,"Sat, Feb 6, 2010",7:30p,New Jersey Nets,92,Detroit Pistons,99,Box Score,,20176,
40,"Sat, Feb 6, 2010",8:00p,Miami Heat,91,Chicago Bulls,95,Box Score,,22352,
41,"Sat, Feb 6, 2010",8:00p,Memphis Grizzlies,102,Minnesota Timberwolves,109,Box Score,,14159,
42,"Sat, Feb 6, 2010",8:30p,Philadelphia 76ers,102,Houston Rockets,95,Box Score,,17415,
43,"Sat, Feb 6, 2010",8:30p,Indiana Pacers,81,Milwaukee Bucks,93,Box Score,,18717,
44,"Sat, Feb 6, 2010",9:00p,Denver Nuggets,106,Utah Jazz,116,Box Score,,19911,
45,"Sat, Feb 6, 2010",10:00p,Los Angeles Lakers,99,Portland Trail Blazers,82,Box Score,,20688,
46,"Sat, Feb 6, 2010",10:30p,Oklahoma City Thunder,104,Golden State Warriors,95,Box Score,,17825,
47,"Sat, Feb 6, 2010",10:30p,San Antonio Spurs,98,Los Angeles Clippers,81,Box Score,,18258,
48,"Sun, Feb 7, 2010",12:00p,Sacramento Kings,104,Toronto Raptors,115,Box Score,,18007,
49,"Sun, Feb 7, 2010",2:30p,Orlando Magic,96,Boston Celtics,89,Box Score,,18624,
50,"Mon, Feb 8, 2010",8:00p,New Orleans Hornets,117,Orlando Magic,123,Box Score,,17461,
51,"Mon, Feb 8, 2010",10:30p,Dallas Mavericks,127,Golden State Warriors,117,Box Score,,17015,
52,"Mon, Feb 8, 2010",10:30p,San Antonio Spurs,89,Los Angeles Lakers,101,Box Score,,18997,
53,"Tue, Feb 9, 2010",7:00p,Washington Wizards,92,Charlotte Bobcats,94,Box Score,,12376,
54,"Tue, Feb 9, 2010",7:00p,New Jersey Nets,97,Cleveland Cavaliers,104,Box Score,,20562,
