,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP RANK,W RANK,L RANK,WIN% RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,BLKA RANK,PF RANK,PFD RANK,+/- RANK
0,1,Chicago Bulls,15,11,4,0.733,49.3,95.9,35.9,83.3,43.1,7.2,19.6,36.7,16.9,22.1,76.2,12.7,33.0,45.7,24.3,13.8,8.2,6.1,5.9,18.4,20.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Orlando Magic,17,3,14,0.176,49.2,95.4,35.2,81.4,43.2,6.7,20.3,33.0,18.4,23.9,76.7,8.5,33.3,41.8,20.4,14.6,7.3,3.5,6.1,19.6,19.2,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Miami Heat,14,8,6,0.571,49.1,103.3,38.9,77.0,50.5,7.1,21.1,33.8,18.4,23.9,77.0,8.8,29.1,37.9,22.4,15.2,7.3,3.6,3.4,20.4,20.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Brooklyn Nets,13,10,3,0.769,48.8,98.6,36.2,78.0,46.4,9.5,25.5,37.0,16.7,21.4,78.1,8.5,29.2,37.7,21.6,14.2,9.1,4.2,4.1,21.9,20.2,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,San Antonio Spurs,14,8,6,0.571,48.4,103.6,39.9,78.2,51.0,8.0,19.4,41.3,15.9,20.6,76.8,8.3,32.7,41.0,25.3,15.4,6.6,5.2,4.8,18.6,20.7,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Cleveland Cavaliers,15,6,9,0.4,48.3,95.1,35.5,85.4,41.5,7.1,19.3,36.9,17.0,23.8,71.4,13.9,31.5,45.3,21.1,12.9,7.3,3.2,6.5,21.6,20.3,-4.9,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Indiana Pacers,15,10,5,0.667,48.3,98.7,37.7,84.3,44.7,6.2,18.3,33.8,17.0,22.8,74.6,12.0,36.1,48.1,19.8,14.7,6.1,5.1,3.9,21.9,21.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,Los Angeles Lakers,15,3,12,0.2,48.3,104.1,38.1,85.0,44.9,8.6,23.8,36.1,19.2,24.3,79.1,8.9,32.9,41.8,24.0,14.5,5.9,4.4,4.7,20.3,20.2,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,Memphis Grizzlies,15,12,3,0.8,48.3,98.1,39.1,83.1,47.0,5.4,14.9,36.3,14.6,20.1,72.8,11.7,32.4,44.1,22.0,12.5,7.3,5.5,4.3,18.0,18.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Charlotte Bobcats,16,7,9,0.438,48.3,98.1,36.6,79.0,46.3,6.4,16.4,38.8,18.6,24.8,75.1,5.8,32.9,38.7,22.6,12.2,5.9,4.6,4.6,16.5,21.4,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,New York Knicks,16,10,6,0.625,48.3,101.4,37.9,81.7,46.4,8.8,22.4,39.4,16.7,22.3,74.8,11.4,32.3,43.6,20.6,13.3,6.3,5.0,3.3,21.8,20.3,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,Phoenix Suns,16,9,7,0.563,48.3,107.3,39.4,87.3,45.2,8.9,24.3,36.8,19.4,24.8,78.5,12.6,30.6,43.3,19.9,12.9,8.0,4.2,4.8,22.6,21.8,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,Sacramento Kings,16,5,11,0.313,48.3,104.6,38.8,84.2,46.0,6.9,19.7,35.2,20.2,26.4,76.4,13.3,32.8,46.1,18.6,15.6,6.0,4.7,5.7,24.3,23.1,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,Boston Celtics,17,2,15,0.118,48.3,93.6,35.1,86.5,40.5,6.0,21.0,28.6,17.5,22.8,76.8,13.9,31.3,45.2,21.2,14.9,7.8,4.7,4.6,22.8,19.8,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Washington Wizards,17,8,9,0.471,48.3,97.4,37.7,84.4,44.7,6.4,18.8,34.2,15.5,21.7,71.5,11.1,32.9,44.0,22.6,14.9,8.4,5.4,3.9,21.6,19.2,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Atlanta Hawks,13,6,7,0.462,48.0,101.5,36.9,80.8,45.7,9.1,25.1,36.2,18.5,22.1,84.0,9.3,29.2,38.5,25.5,16.0,10.0,4.2,5.2,18.1,20.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Dallas Mavericks,17,9,8,0.529,48.0,104.8,39.4,82.1,48.0,8.1,22.5,35.9,18.1,23.2,77.9,9.4,28.9,38.3,22.9,12.3,8.1,3.1,3.1,20.6,20.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,Detroit Pistons,12,4,8,0.333,48.0,99.3,37.7,85.5,44.1,4.8,18.0,26.4,19.2,28.9,66.3,14.3,31.8,46.0,20.5,15.1,8.4,5.0,5.1,21.0,21.8,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16,Golden State Warriors,15,9,6,0.6,48.0,105.1,39.3,86.0,45.7,9.3,25.7,36.3,17.1,22.5,76.0,10.7,34.0,44.7,22.9,14.4,8.2,4.7,4.1,21.4,19.9,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16,Houston Rockets,14,10,4,0.714,48.0,103.5,36.6,79.0,46.3,8.8,25.2,34.8,21.6,32.4,66.7,11.6,33.2,44.9,20.4,15.1,6.6,5.1,5.6,20.5,25.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,16,Los Angeles Clippers,16,12,4,0.75,48.0,109.1,39.0,80.9,48.2,9.4,24.8,37.8,21.7,28.9,75.1,9.9,32.0,41.9,24.4,13.4,7.5,4.4,2.8,19.9,22.6,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
21,16,Milwaukee Bucks,15,1,14,0.067,48.0,90.3,34.9,82.1,42.5,7.4,21.8,33.9,13.2,18.7,70.5,11.6,28.4,40.0,21.6,15.3,6.7,5.3,4.7,21.5,19.7,-14.7,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,Minnesota Timberwolves,15,8,7,0.533,48.0,104.9,39.4,87.0,45.3,7.3,19.9,36.5,18.9,24.9,75.7,10.9,34.1,45.1,23.7,12.6,8.2,4.3,5.9,19.1,22.9,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
23,16,New Orleans Pelicans,16,5,11,0.313,48.0,95.3,35.8,77.9,46.0,4.6,13.0,35.6,19.0,24.8,76.8,10.9,29.8,40.8,19.1,15.1,7.6,6.5,5.9,23.9,21.2,-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
